kníž k y	RSI
ú žas n ého	PRSI
sedm i člen n ou	RSRSI
se tř í t	PRSI
thét a	RI
vý čt ov ě	PRSI
zdrav	R
styd nou t	RSI
ne kdák a l y	PRSSI
bez vad n ých	RRSI
po krok em	PRI
ná klad ov ých	PRSI
do sta ne	PRS
oběd	R
u klid n i l i	PRSSSI
z jemň ova t	PRSI
při mích á v a t	PRSSSI
při prav i t	PRSI
fabk a	RI
s trž i t	PRSI
mini stran y	RRI
vy v d a t	PPRSI
z lom i t	PRSI
brept a t	RSI
kabel	R
ú tok u	PRS
ze špatn ě t	PRSI
pol ovič n í	RSSI
tak ov ou	RSI
po cvič i t	PRSI
na třás a t	PRSI
zunk nou t	RSI
o přád a t	PRSI
ne vy hrá t	PPRI
belh a t	RSI
prác e s chop n ý	RSSRSI
nymf a	RI
ne roz trh a l i	PPRSSI
o lam ova t	PRSI
po čt u	PRS
zl e	RI
pro cvik a n ý	PRSSI
senz ac e	RSI
u ži v a tel e	PRSSSI
slov y	RI
pod rob i t	PRSI
tlak em	RI
po prsk a t	PRSI
z pozd i t	PRSI
in fekc e	PRI
na cuc a t	PRSI
nej akt iv n ějš í	PRSSSI
na zu l	PRS
s klad ov é	PRSI
z re duk ova t	PPRSI
thai box er	RRR
jin ými	RI
maž	R
štych	R
ne roz liš uje	PPRR
roz pín a t	PRSI
jedn a dv a cít k a	RSRSRSI
br á t	PPI
u rýp nou t	PRSI
post pozic e	RRI
z ne klid ň ova t	PPRSSI
rat ing	RR
z kypř e t	PRSI
druh ým	RR
vy hlaz ova t	PRSI
jabl íčk a	RSI
pře syp a t	PRSI
rut ov	RS
var	R
pro dch nou t	PRSI
ne pod daj n ý	PPRSI
s konč i l a	PRSSI
o hod n ot i t	PRSSSI
do tvrd i t	PRSI
obe še l	PRS
sáh l a	RSI
otrok ov ic e	RSSI
šir ok y	RSI
znam en aj í	RSSI
dů věr ách	PRR
mír u mil ov n ý	RSRSSI
ne m ě l y	PPPPI
nej bíd n ějš ímu	PRSSR
pytl ác i	RSI
bass re flex	RSR
ob tíž i t	PRSI
po škoz en ý	PRSI
kd o ž	PPR
florin ů	RS
prakt ic k á	RSSS
koberc e	RI
ně kolik a řád k ov ého	RRSRSSI
při čin ěn í	PRSI
svít í	RI
ne s mír n ou	PPRSI
tiš	R
žen a	RI
před mi nu l ého	PRSSI
chytr ák	RS
od je t	PRI
u rč it ost	PRSS
smaž en ých	RSI
pedant ism u	RRS
břidl a	RI
blaf nou t	RSI
cykl o kros u	RSRS
zl ost i	RSI
ran í	RI
vz duch o ventil ac e	PRSRSI
o hryz á v a t	PRSSSI
válk ou	RI
kred it ova t	RSSI
při sá v a t	PRSSI
popo sad i t	PRSI
katolic k é	RSI
inter ven ova l a	RRSSI
ne obyčej n ě	PRSI
armstrong	R
krucembur sk é	RSI
rd í t	RSI
lod ičk a	RSI
hrab a l	RSS
pře vaz ova t	PRSI
strach em	RI
shakespear o mani e	RSRI
brabec	R
vý nos u	PRS
lesk l i	RSI
s cház í te	PPPR
veteš ník	RS
z požď ova t	PRSI
po třeb ova l i	PRSSI
při prav en ého	PRSI
pře nés t	PRI
inaugur ová n	RSS
re sign ova t	PRSI
gener ál	RI
u věd om i l	PRRSS
rod in ách	RSR
v děč í	PRI
síp a t	RSI
garanc e	RI
helfr	R
u smí v a l	PRSSS
ochot a	RI
dluh y	RI
kapitán ovi	RR
chc e me	RSR
špión ů	RS
ber e	RI
lán	R
o škráb a t	PRSI
po do týk a ti	PPRSR
